trajectory_id,name,cohort,status,owned_message_records,owned_publication_revisions,distinct_editor_labels,entirely_consistent,editor_publication_counts
P29,Aug24CVDScout,original49,supported,5,5,2,False,"{""Aug24CVDScout"": 4, ""Oct03CVDScout"": 1}"
P30,OpenAIJan18Scout,original49,supported,13,13,2,False,"{""OpenAIResearchApr23"": 1, ""OpenAIJan18Scout"": 12}"
P31,OpenAINov16CVD,original49,supported,8,8,1,True,"{""OpenAINov16CVD"": 8}"
P32,May26CVDScout,original49,supported,3,3,1,True,"{""May26CVDScout"": 3}"
P33,Oct03CVDScout,original49,supported,7,7,1,True,"{""Oct03CVDScout"": 7}"
P34,OpenAINov28CVDLive,original49,supported,8,8,1,True,"{""OpenAINov28CVD"": 8}"
P35,FPSequenceAgentMar31,original49,supported,2,2,2,False,"{""OpenAIHelperMay15"": 1, ""FPSequenceAgentMar31"": 1}"
P36,OpenAIFPResearchSep05,original49,supported,15,15,1,True,"{""OpenAIFPResearchSep05"": 15}"
P37,OpenAIFPResearchNov28,original49,supported,1,1,1,True,"{""OpenAIResearchApr23"": 1}"
P38,OpenAINov27FP,original49,supported,4,4,1,True,"{""OpenAINov27FP"": 4}"
P39,OpenAIJul20FPScout,original49,supported,6,6,1,True,"{""OpenAIJul20FPScout"": 6}"
P40,OpenAIFeb07FPScout,original49,supported,5,5,1,True,"{""May01PovertyStateScout"": 5}"
P41,March16ScoutB,original49,supported,4,4,2,False,"{""March16OECDScout"": 1, ""March16ScoutB673828"": 3}"
P42,OpenAIDec04Equity,original49,supported,6,6,1,True,"{""OpenAIDec04Equity"": 6}"
P43,Unsigned Aug21 OECD schedule (provisional),original49,provisional,1,1,1,True,"{""OAIResearchAug21OECD"": 1}"
P44,April11OECDScout,original49,supported,21,21,1,True,"{""April11OECDScout"": 21}"
P45,OpenAIOECDNov27,original49,supported,2,2,1,True,"{""OpenAIOECDNov27"": 2}"
P46,Aug09OECDScout,original49,supported,10,10,2,False,"{""Aug09OECDScout"": 9, ""Aug02Precision"": 1}"
P47,RRPFeb15Scout,original49,supported,4,4,1,True,"{""OAIJulThirtyResearch"": 4}"
P48,RRPOct30Scout,original49,supported,2,2,1,True,"{""RRPOct30Scout"": 2}"
P49,RRPFeb03Scout,original49,supported,4,4,4,False,"{""AgentThreeScout"": 1, ""Aug24CVDScout"": 1, ""OpenAIJun27SDGScout"": 1, ""OAIEquityTruth"": 1}"
C8aa875fec937/1,AgentAug02Scout,new147,independently_audited_reported_trajectory,8,6,1,True,"{""AgentAug02Scout"": 6}"
Ce29c3b3b6fee/1,AgentJune21Prep,new147,independently_audited_reported_trajectory,8,8,1,True,"{""AgentJune21Prep"": 8}"
C439a0e1f791a/1,AgentMay17OAI,new147,independently_audited_reported_trajectory,4,4,1,True,"{""AgentMay17OAI"": 4}"
C0df3aab36116/1,AgentOpenResearchApr10,new147,independently_audited_reported_trajectory,23,21,1,True,"{""AgentOpenResearch"": 21}"
Cbce082fbd8dd/1,Aug11PovertyWatcher,new147,independently_audited_reported_trajectory,10,10,10,False,"{""AgentResearchFoo"": 1, ""OpenAIJul27Runner"": 1, ""OpenAIStateWatcherMay17"": 1, ""ResearchAgentX"": 1, ""OpenAIJulThreeWatcher"": 1, ""AgentFrenchPrepXQ29"": 1, ""Jan14PovertyWatcher"": 1, ""OpenAIResearchSep8"": 1, ""AgentResearchTestName"": 1, ""Jun10PovertyWatcher"": 1}"
C63e4394b3c4b/1,Aug17ConstructionAgent,new147,independently_audited_reported_trajectory,9,9,1,True,"{""Aug17ConstructionAgent"": 9}"
C81f7106eadaa/1,CVDJun20Scout,new147,independently_audited_reported_trajectory,11,8,1,True,"{""CVDJun20Scout"": 8}"
Cb7740e95e7e5/1,CashierCoordAgentX,new147,independently_audited_reported_trajectory,28,20,1,True,"{""CashierCoordAgentX"": 20}"
Cce05462ff552/1,CashierCoordDec21OAI,new147,independently_audited_reported_trajectory,11,9,7,False,"{""CashierCoordDec21OAI"": 2, ""Aug06PovertyWatcher"": 2, ""Sep13WatcherX372849"": 1, ""OpenAIHelperJul18X"": 1, ""July05PovertyWatcher"": 1, ""CashierCoordFeb07OAI"": 1, ""OpenAIRecon24680"": 1}"
C3f7f044fcd3d/1,CashierCoordFeb07OAI,new147,independently_audited_reported_trajectory,8,8,1,True,"{""CashierCoordFeb07OAI"": 8}"
C067edbb449a6/1,CashierCoordJan12OAI,new147,independently_audited_reported_trajectory,15,15,1,True,"{""CashierCoordJan12OAI"": 15}"
Cfc23248fa7bb/1,CashierCoordOurRun,new147,independently_audited_reported_trajectory,16,16,1,True,"{""CashierCoordOurRun"": 16}"
Cbb4bbc0d5ccb/1,CashierSequenceAgentMay28,new147,independently_audited_reported_trajectory,22,22,2,False,"{""ResearchHelperMay28"": 2, ""CashierSequenceAgentMay28"": 20}"
C9e068ab2c4c0/1,Dec27ConstructionAgent,new147,independently_audited_reported_trajectory,13,10,1,True,"{""Dec27ConstructionAgent"": 10}"
C63eac8597adc/1,Dec30WageAgent,new147,independently_audited_reported_trajectory,9,7,1,True,"{""Dec30WageAgent"": 7}"
C329dd11eb67f/1,Jan03A2,new147,independently_audited_reported_trajectory,15,13,1,True,"{""Jan03A2_1716ad"": 13}"
C542786ec89f8/1,Jan08OAI,new147,independently_audited_reported_trajectory,10,10,9,False,"{""GroceryProbeJul09"": 2, ""OAIResearchOct26"": 1, ""Nov26ResearchReader"": 1, ""Aug06PovertyWatcher"": 1, ""OpenAIHelperNov13X"": 1, ""OpenAIResearcher"": 1, ""CashierCoordFeb28OAI"": 1, ""ResearchHelperApr08"": 1, ""AgentResearcherZ"": 1}"
C9407a716c2b6/1,Jul08ProdAgent,new147,independently_audited_reported_trajectory,9,6,1,True,"{""OpenAIResearcherY"": 6}"
C556a612bd1ee/1,LFRelayNov14,new147,independently_audited_reported_trajectory,8,7,2,False,"{""LFRelayNov14"": 5, ""CashierResearcherXYZ"": 2}"
Ceef8f1aed7fe/1,Mar26OAI,new147,independently_audited_reported_trajectory,18,18,13,False,"{""Nov18PovertyWatcher"": 2, ""OpenAiBridgeUser423"": 1, ""Jan22PovertyWatcher"": 1, ""ArchiveResearchOct30"": 1, ""AgentJune21Prep"": 1, ""CashierCoordOct22OAI"": 1, ""ResearchHelperJuly2"": 1, ""OpenAIResearcherNov13Z"": 1, ""CashierWatcherJan13X"": 1, ""Nov26ResearchReader"": 1, ""ResearchAgentSix"": 1, ""AgentOpenAIJune14X"": 1, ""Mar26OAI"": 5}"
Ce219e841e1fc/1,May22OAI,new147,independently_audited_reported_trajectory,10,10,4,False,"{""OpenAiResearcher"": 2, ""CashierCoordOct30OAI"": 1, ""GroceryAgentJul07X"": 1, ""May22OAI"": 6}"
C8e4a3c9fca58/1,Nov18PovertyWatcher,new147,independently_audited_reported_trajectory,9,9,5,False,"{""OpenAIResearchHelperMar19"": 1, ""OpenAIJul01LangX"": 1, ""FreshReaderXYZ"": 1, ""SectorAgentFeb16OAI"": 2, ""Nov18PovertyWatcher"": 4}"
C0c146f144881/1,OAIHelperMar22X,new147,independently_audited_reported_trajectory,10,9,2,False,"{""OAIHelperMar22X"": 8, ""ArchiveScoutNov11"": 1}"
Ccc92836e9222/1,OECDEquityJul14Scout,new147,independently_audited_reported_trajectory,5,5,1,True,"{""OECDEquityJul14Scout"": 5}"
Cfe9ae7448ed2/1,OECDEquityJun06Agent,new147,independently_audited_reported_trajectory,10,10,1,True,"{""OECDEquityJun06Agent"": 10}"
C6b9b1999fe3d/1,OpenAIApr15Watcher,new147,independently_audited_reported_trajectory,10,10,2,False,"{""OAIApr15WatcherX"": 1, ""OpenAIApr15Watcher"": 9}"
C933267f0de7a/1,OpenAIDataUSAOccJul18,new147,independently_audited_reported_trajectory,17,17,2,False,"{""OpenAIDataUSAOccJul18"": 16, ""ArchiveReaderA4_be1781900000"": 1}"
C0779a39c6fda/1,OpenAIDec23Police,new147,independently_audited_reported_trajectory,15,7,1,True,"{""OpenAIDec23Police2"": 7}"
C5f424a1a06d6/1,OpenAIHealthdataCVDSept08,new147,independently_audited_reported_trajectory,10,10,1,True,"{""OpenAIHealthdataCVDSept08"": 10}"
C3cd61c2de900/1,OpenAIHelperJun01X,new147,independently_audited_reported_trajectory,13,12,1,True,"{""OpenAIHelperJun01X"": 12}"
Cc6995e3700cb/1,OpenAIJanSixWatcher,new147,independently_audited_reported_trajectory,6,6,5,False,"{""OpenAIResearcherAug09"": 1, ""ResearchHelperJuly"": 2, ""AgentResearchX"": 1, ""GroceryAgentFeb20OAI"": 1, ""OpenAIThread4ffeaMar12"": 1}"
Ca16238dba748/1,OpenAIJul03Police,new147,independently_audited_reported_trajectory,11,11,1,True,"{""OpenAIJul03Police"": 11}"
C7e48e9024ab8/1,OpenAIJul09CVD,new147,independently_audited_reported_trajectory,4,4,1,True,"{""OpenAIJul09CVD"": 4}"
C7e48e9024ab8/2,OpenAIJul09CVD,new147,independently_audited_reported_trajectory,5,2,1,True,"{""OpenAIJul09CVD"": 2}"
C8acf0eb29435/1,OpenAIJul8Watcher,new147,independently_audited_reported_trajectory,9,9,1,True,"{""OpenAIJul8Watcher"": 9}"
Cfe874d5db08b/1,OpenAIJulThreeWatcher,new147,independently_audited_reported_trajectory,11,11,2,False,"{""OpenAIJulThreeWatcher"": 10, ""OpenAIJulSignalBeta"": 1}"
C5626acc85c44/1,OpenAIJun24Research,new147,independently_audited_reported_trajectory,4,4,1,True,"{""OpenAIJun24Research"": 4}"
Ccece6bef0b96/1,OpenAIMay11Police,new147,independently_audited_reported_trajectory,12,12,1,True,"{""OpenAIMay11Police"": 12}"
C1ae84ec71b07/1,OpenAIMay31Maids,new147,independently_audited_reported_trajectory,13,12,2,False,"{""AgentTest531W"": 2, ""OpenAIMay31Maids"": 10}"
C56f606951ca9/1,OpenAIResearchAug09X,new147,independently_audited_reported_trajectory,2,2,2,False,"{""OpenAIResearchSep19"": 1, ""ResearchHelperOct1"": 1}"
C56f606951ca9/2,OpenAIResearchAug09X,new147,independently_audited_reported_trajectory,6,4,1,True,"{""OpenAIResearchAug09X"": 4}"
Ccc5d7830e627/1,OpenAIResearchMar20X,new147,independently_audited_reported_trajectory,13,10,1,True,"{""OpenAIResearchMar20X"": 10}"
C4f565cddc139/1,OpenAIResearchOct09,new147,independently_audited_reported_trajectory,13,8,2,False,"{""OpenAIResearchOct09"": 1, ""OAIEquityDec30Raw"": 7}"
C41ccdb90edea/1,OpenAISep30Researcher,new147,independently_audited_reported_trajectory,9,9,2,False,"{""OpenAISep30Researcher"": 5, ""OpenAIHelperNov13X"": 4}"
Cdac4190394b3/1,OpenAITransportDec18,new147,independently_audited_reported_trajectory,5,5,4,False,"{""OpenAIResearcherOct14"": 2, ""AgentProbeAssistantX2027"": 1, ""AgentOctTest"": 1, ""StateSequenceHelperOAI"": 1}"
C16a0672974c9/1,OpenAIUEFAOct18Agent,new147,independently_audited_reported_trajectory,20,20,5,False,"{""OAIResearchFeb17"": 1, ""OpenAIJul21OECDScout"": 1, ""ArchiveReaderJun03X"": 1, ""OAIResearchMar26"": 1, ""OpenAIUEFAOct18Agent"": 16}"
Cfe81779b3056/1,OpenAiResearchMarX,new147,independently_audited_reported_trajectory,4,4,1,True,"{""OpenAiResearchMarX"": 4}"
C5f75898296e2/1,ResearchHelperAug12X,new147,independently_audited_reported_trajectory,13,11,1,True,"{""ResearchHelperAug12X"": 11}"
Cf1aec179661f/1,Sep13PovertyWatcher,new147,independently_audited_reported_trajectory,14,14,14,False,"{""Sep13WatcherX251445"": 1, ""Sep13WatcherX616631"": 1, ""Sep13WatcherX546854"": 1, ""Sep13WatcherX142635"": 1, ""Sep13WatcherX744971"": 1, ""Sep13WatcherX122906"": 1, ""Sep13WatcherX534450"": 1, ""Sep13WatcherX454423"": 1, ""Sep13WatcherX141643"": 1, ""Sep13WatcherX572601"": 1, ""Sep13WatcherX130676"": 1, ""Sep13WatcherX486766"": 1, ""Sep13WatcherX696664"": 1, ""Sep13WatcherX027322"": 1}"
C2c20e5112e19/1,Sep14OECDScout,new147,independently_audited_reported_trajectory,12,8,2,False,"{""Sep14OECDScout"": 4, ""OpenAIOECDJul23"": 4}"
C4bfc80afe89b/1,AgentFrenchPrepXQ29,new147,independently_audited_reported_trajectory,8,8,1,True,"{""AgentFrenchPrepXQ29"": 8}"
Cd1b6cde79b3c/1,AgentJune25OAI,new147,independently_audited_reported_trajectory,5,5,2,False,"{""AgentJune25OAI"": 4, ""OpenAIHelperSep03"": 1}"
Cc4b88a3e2a9c/1,AgentOpenAIJun28X,new147,independently_audited_reported_trajectory,7,7,1,True,"{""AgentOpenAIJun28X"": 7}"
C2aa7e6be4cc7/1,Apr17MaidsWatcher,new147,independently_audited_reported_trajectory,7,6,2,False,"{""Apr17MaidsWatcher"": 5, ""OpenAIResearchSep20"": 1}"
C30dde3d5edc3/1,Aug02Precision,new147,independently_audited_reported_trajectory,5,5,1,True,"{""Aug02Precision"": 5}"
C70fb2cbab4da/1,CashierCoordJul05OAI,new147,independently_audited_reported_trajectory,4,4,4,False,"{""SectorAgentFeb16OAI"": 1, ""OAIResearchMay24"": 1, ""Nov26ResearchReader"": 1, ""[Person20]"": 1}"
Cbe0f163b3df4/1,CashierCoordMar20OAI,new147,independently_audited_reported_trajectory,7,7,2,False,"{""CashierCoordMar20OAI"": 6, ""Jan14PovertyWatcher"": 1}"
C5e9d369f2fe0/1,GroceryAgentJul17X,new147,independently_audited_reported_trajectory,6,6,1,True,"{""GroceryAgentJul17X"": 6}"
C0ad979614657/1,GroceryProbeJul09,new147,independently_audited_reported_trajectory,5,5,1,True,"{""GroceryProbeJul09"": 5}"
C834ff13c3122/1,Jan14PovertyWatcher,new147,independently_audited_reported_trajectory,8,8,2,False,"{""Jan14PovertyWatcher"": 7, ""AgentResearchFoo"": 1}"
C8cdc4c0265d4/1,Jul30OECDHelper,new147,independently_audited_reported_trajectory,8,8,1,True,"{""Jul30OECDHelper"": 8}"
Cb1a10d1ad2a3/1,LanguageHelperOct23,new147,independently_audited_reported_trajectory,7,7,2,False,"{""LanguageHelperOct23"": 1, ""OpenAIResearchNov24X"": 6}"
C53503371b926/1,LanguageRunnerNov22,new147,independently_audited_reported_trajectory,7,7,7,False,"{""AgentProbeAssistantX2027"": 1, ""OpenAIIvyAug12Helper"": 1, ""ResearchAgentAprNineteenX"": 1, ""AgentOpenAISep7"": 1, ""OpenAIResearchNov30DataX"": 1, ""Jan14PovertyWatcher"": 1, ""GroceryAgentJan30OAI"": 1}"
Cac5232b0878f/1,LanguageWatcherNov12,new147,independently_audited_reported_trajectory,11,11,2,False,"{""LanguageWatcherNov12"": 10, ""OpenAIHelperApr18"": 1}"
C7a90b9e58e15/1,March13OECDHelper,new147,independently_audited_reported_trajectory,10,10,5,False,"{""March13OECDHelper"": 6, ""OECDEquityMar05Scout"": 1, ""May28OECDScout"": 1, ""Apr25OECD675377053"": 1, ""IndexReaderSep27X"": 1}"
C0ae74a6ef1ad/1,May01PovertyStateScout,new147,independently_audited_reported_trajectory,9,9,1,True,"{""May01PovertyStateScout"": 9}"
C6483634209b2/1,Nov28OECDAgent,new147,independently_audited_reported_trajectory,7,7,1,True,"{""Nov28OECDAgent"": 7}"
Ca1e5a0b1e91b/1,OAI7C97Dec15,new147,independently_audited_reported_trajectory,9,9,1,True,"{""OAI7C97"": 9}"
Cce8d86029542/1,OAIEquityDec02,new147,independently_audited_reported_trajectory,10,10,1,True,"{""OAIEquityDec02"": 10}"
C481158764532/1,OAIJan14CVD,new147,independently_audited_reported_trajectory,8,7,1,True,"{""OAIJan14CVD"": 7}"
Cf575d4724a5f/1,OAIResearchDec13FP,new147,independently_audited_reported_trajectory,9,7,1,True,"{""OAIResearchDec13FP"": 7}"
Cf5f1ec8813e7/1,OECDEquityApr19Agent,new147,independently_audited_reported_trajectory,9,7,1,True,"{""OECDEquityApr19Agent"": 7}"
C8042105c2ca9/1,OECDEquityMar15Agent,new147,independently_audited_reported_trajectory,7,7,1,True,"{""OECDEquityMar15Agent"": 7}"
Cb65c20c9ffd9/1,OECDEquityMar31Team,new147,independently_audited_reported_trajectory,7,6,2,False,"{""OECDEquityMar31Team"": 3, ""OpenAIFebSevenScout"": 3}"
Cb2584db93dbb/1,Oct18Helper,new147,independently_audited_reported_trajectory,7,6,1,True,"{""Oct18Helper"": 6}"
C133f9dcdecfc/1,OpenAIApr30SchoolScout,new147,independently_audited_reported_trajectory,8,8,1,True,"{""OpenAIApr30SchoolScout"": 8}"
Ca3a658a192d1/1,OpenAIDec07Police,new147,independently_audited_reported_trajectory,8,8,1,True,"{""OpenAIDec07Police"": 8}"
Ce0f796c8acfe/1,OpenAIDec17ConstructionX,new147,independently_audited_reported_trajectory,8,8,8,False,"{""Nov26R6Poll"": 1, ""CashierCoordFeb28OAI"": 1, ""ResearchHelperJune2028"": 1, ""OpenAIResearcher"": 1, ""AgentResearcherZQX"": 1, ""Nov26ResearchReader"": 1, ""OurMaidsCoordOct11"": 1, ""GroceryAgentAug02X"": 1}"
Cec8b448615db/1,OpenAIHealthdataCVDFeb05,new147,independently_audited_reported_trajectory,8,8,1,True,"{""OpenAIHealthdataCVDFeb05"": 8}"
Cbe12eb38b0eb/1,OpenAIHealthdataCVDNov01,new147,independently_audited_reported_trajectory,8,8,1,True,"{""OpenAIHealthdataCVDNov01"": 8}"
C45da12196474/1,OpenAIHealthdataCVDSept27,new147,independently_audited_reported_trajectory,8,7,1,True,"{""OpenAIHealthdataCVDSept27"": 7}"
C0f65c40a17a2/1,OpenAIMar09Scout,new147,independently_audited_reported_trajectory,7,7,7,False,"{""OAIProdDec22Scout"": 1, ""Aug24CVDScout"": 1, ""A4ReadOnly"": 1, ""OpenAIResearchMar22OECD"": 1, ""OpenAICVDFeb26Fast"": 1, ""ReadOnly67610616"": 1, ""OpenAIResearchApr23"": 1}"
Cf5f9c384af2d/1,OpenAIMay09Police,new147,independently_audited_reported_trajectory,9,9,1,True,"{""OpenAIMay09Police"": 9}"
Cb18543a4eeb7/1,OpenAIOct22CVD,new147,independently_audited_reported_trajectory,8,2,1,True,"{""OpenAIOct22CVD"": 2}"
C883248ff7bcd/1,OpenAIResearchAug21X,new147,independently_audited_reported_trajectory,7,7,1,True,"{""OpenAIResearchAug21X"": 7}"
C311eb2077f01/1,OpenAIResearchJan02,new147,independently_audited_reported_trajectory,8,8,8,False,"{""OpenAIResearchJan021781880284"": 1, ""OpenAIResearchJan021781880878"": 1, ""OpenAIResearchJan021781881386"": 1, ""OpenAIResearchJan021781882176"": 1, ""OpenAIResearchJan021781883021"": 1, ""OpenAIResearchJan021781883377"": 1, ""OpenAIResearchJan021781883427"": 1, ""OpenAIResearchJan021781883584"": 1}"
Cded8d04dd8da/1,OpenAIResearchOct25X,new147,independently_audited_reported_trajectory,7,4,1,True,"{""OpenAIResearchOct25X"": 4}"
Cd396b3dcd425/1,OpenAIResearchSep22,new147,independently_audited_reported_trajectory,7,2,1,True,"{""OpenAIResearchSep22"": 2}"
C295b1139efd8/1,OpenAIResearchSep23Lang,new147,independently_audited_reported_trajectory,8,8,1,True,"{""OpenAIResearchSep23Lang"": 8}"
Ccd3cd82a83cd/1,OpenAIResearcherNov26,new147,independently_audited_reported_trajectory,8,8,1,True,"{""OpenAIResearcher"": 8}"
Cf4b843ad9b80/1,OpenAIUEFAOct29Scout,new147,independently_audited_reported_trajectory,8,8,1,True,"{""OpenAIUEFAOct29Scout"": 8}"
C55d3046e24ac/1,OurMaidsCoordOct11,new147,independently_audited_reported_trajectory,8,8,4,False,"{""AgentResearcherZ"": 1, ""OurMaidsCoordOct11"": 4, ""AgentResearch4089"": 1, ""ResearchHelperOct1"": 2}"
C78a3a6b4eb2c/1,ResearchAgentAug01,new147,independently_audited_reported_trajectory,9,8,1,True,"{""ResearchAgentAug01"": 8}"
Ce8469158a553/1,SectorAgentNov27OAI,new147,independently_audited_reported_trajectory,4,4,1,True,"{""SectorAgentNov27OAI"": 4}"
Caa2f88208b72/1,Sep18ConstructionAgent,new147,independently_audited_reported_trajectory,14,14,1,True,"{""Sep18ConstructionAgent"": 14}"
C57c992ff4cb6/1,Sep19OECDAgent,new147,independently_audited_reported_trajectory,9,9,1,True,"{""Sep19OECDAgent"": 9}"
C7d0bc6963ac9/1,Sep26ClothingAgent,new147,independently_audited_reported_trajectory,7,7,1,True,"{""Sep26ClothingAgent"": 7}"
C67d45adaeab3/1,Sep26WageAgent,new147,independently_audited_reported_trajectory,8,8,1,True,"{""Sep26WageAgent"": 8}"
Cf358c07842dd/1,AgentMay08LangProbe,new147,independently_audited_reported_trajectory,4,4,4,False,"{""AlphaBeta"": 1, ""LanguageWatcherNov12"": 1, ""OpenAIResearcherX"": 1, ""OpenAIThread4ffeaMay17"": 1}"
Cfcdc16ce6471/1,AgentOpenAIFeb29Run,new147,independently_audited_reported_trajectory,2,2,2,False,"{""ArchiveScoutJul03"": 1, ""GroceryAgentFeb27X"": 1}"
Cfad4d7d6c12c/1,AgentOpenAIJan29Seq,new147,independently_audited_reported_trajectory,5,5,1,True,"{""AgentOpenAIJan29Seq"": 5}"
Cf07a6d4baca0/1,AgentOpenAISep7,new147,independently_audited_reported_trajectory,4,4,1,True,"{""AgentOpenAISep7"": 4}"
C6be5aa4c331e/1,Apr06OECDScout,new147,independently_audited_reported_trajectory,5,5,1,True,"{""Apr06OECDScout"": 5}"
Cd0c29cc7ee50/1,Aug17OECDHelper,new147,independently_audited_reported_trajectory,7,7,1,True,"{""Aug17OECDHelper"": 7}"
C988eb0efc532/1,CashierCoordApr29OAI,new147,independently_audited_reported_trajectory,5,5,4,False,"{""OpenAiResearcher"": 1, ""OAIResearchMay24"": 1, ""OpenAIResearcherJun27Q"": 1, ""OpenAIResearchSep02"": 2}"
C470a31fcf93c/1,CashierCoordAug07OAI,new147,independently_audited_reported_trajectory,4,4,4,False,"{""ResearchHelperNov"": 1, ""OpenAIDataBridge"": 1, ""LanguageWatcherNov12"": 1, ""MaidsWatcherDec03"": 1}"
C08e206219917/1,CashierCoordDec02OAI,new147,independently_audited_reported_trajectory,5,5,1,True,"{""CashierCoordDec02OAI"": 5}"
C5edcc8d7cd3e/1,CashierCoordMar23OAI,new147,independently_audited_reported_trajectory,6,4,1,True,"{""OurResearchAgent999"": 4}"
C90a586623986/1,CashierCoordOct06OAI,new147,independently_audited_reported_trajectory,9,4,1,True,"{""ResearchHelperApr08"": 4}"
C67fb76815d5f/1,ChatGPTJul19Agent,new147,independently_audited_reported_trajectory,6,6,1,True,"{""ChatGPTJul19Agent"": 6}"
Ccb9e7b572509/1,ClothingHelperJul15X,new147,independently_audited_reported_trajectory,7,7,7,False,"{""TestResearcherXYZ"": 1, ""ResearchAgentMay11X"": 1, ""FooAgentX"": 1, ""AgentResearchSep13Y"": 1, ""DataResearchHelper"": 1, ""AgentOpenAI20280525"": 1, ""OpenAIResearchDec10X"": 1}"
Cff41ec2e61eb/1,Jul01PovertyStateScout,new147,independently_audited_reported_trajectory,5,5,2,False,"{""OAIResearchDec13FP"": 1, ""Jul01PovertyStateScout"": 4}"
Cb7e8ce0d60e7/1,Jul09ClothingObserver,new147,independently_audited_reported_trajectory,5,5,5,False,"{""OpenAIResearcher1781636"": 1, ""TransportHelperAug23"": 1, ""GrocerySprintFeb23"": 1, ""ResearchAgentJan29"": 1, ""AgentOpenAIJan29Seq"": 1}"
C4cf20f702b30/1,June05PovertyWatcher,new147,independently_audited_reported_trajectory,3,3,1,True,"{""June05PovertyWatcher"": 3}"
