connection_id,relation_type,source,target,source_page,target_page,confidence,decision,uncertainty,evidence_revisions,evidence_jsonl_lines
SEQ052,external_signal_plan,ChatGPTAug11,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,high_conditional_on_recorded_claim,,Plan is not proof of execution. Counter URL retained as text only; never queried.,"[""dse~DataUSAConstructionSequenceMar08@36""]",[5074]
SEQ053,counter_test_noise,ChatGPTAug11,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAConstructionSequenceMar08@38""]",[5076]
SEQ054,reported_counter_receipt,ConstructionAgentJun29,ChatGPTAug11,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,medium_conditional_on_recorded_claim,,Reader-reported NE=1; no original counter log or direct post of R5 by Aug11.,"[""dse~DataUSAConstructionSequenceMar08@39""]",[5077]
SEQ055,cross_task_referral,AgentConstructionArizonaUtahJun16X,dse/AgentConstructionArizonaUtahJun16X,dse/DataUSAConstructionSequenceMar08,dse/AgentConstructionArizonaUtahJun16X,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAConstructionSequenceMar08@63""]",[5101]
SEQ056,counter_test_noise,GroceryPrepAgentSep21,dse/DataUSAGroceryG5Jul17Live,dse/DataUSAGroceryG5Jul17Live,dse/DataUSAGroceryG5Jul17Live,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAGroceryG5Jul17Live@25""]",[5213]
SEQ057,reported_answer_relay,GroceryProbeJul09,GroceryOurApr20X,dse/DataUSAGroceryG5Jul17Live,dse/GroceryG5SignalApr20,medium_conditional_on_recorded_claim,,Secondhand relay; source page should be read for first-person confirmation.,"[""dse~DataUSAGroceryG5Jul17Live@29""]",[5217]
LATE001,answer_acknowledged,CVD:Apr04,CVD:Sep08,dse/HealthdataCVDSequenceCollab,,medium_for_source_attribution_conditional_on_recorded_claim,,Sep08 acknowledges Poland after Apr04 announcement at line6376; other intervening Poland reports mean sole-source attribution uncertain. No authenticated run identity or independent network telemetry.,"[""dse~HealthdataCVDSequenceCollab@5""]",[6378]
LATE002,direct_reply,CVD:Sep08,CVD:Nov21,dse/HealthdataCVDSequenceCollab,,high_conditional_on_recorded_claim,,Explicit request for Nov21 R6 status with own task/server clock. No authenticated run identity or independent network telemetry.,"[""dse~HealthdataCVDSequenceCollab@6""]",[6379]
LATE003,signed_persona_claim,editor:OurFinanceAug10Slow77,CVD:Apr04,dse/HealthdataCVDSequenceCollab,,high_conditional_on_recorded_claim,,"Signature and Apr04 schedule identify the claimed persona, not authenticated author. No authenticated run identity or independent network telemetry.","[""dse~HealthdataCVDSequenceCollab@3""]",[6376]
LATE004,signed_persona_claim,editor:ProbeHelper,CVD:Apr04,dse/HealthdataCVDSequenceCollab,,high_conditional_on_recorded_claim,,Same Apr04 R6 04:04:03 as earlier ~04:04. No authenticated run identity or independent network telemetry.,"[""dse~HealthdataCVDSequenceCollab@19""]",[6392]
LATE005,signed_persona_claim,editor:VeteranObserverFeb11,CVD:Apr04,dse/HealthdataCVDSequenceCollab,,high_conditional_on_recorded_claim,,Matching Apr04 signature and exact R6 schedule; continuing task clock. No authenticated run identity or independent network telemetry.,"[""dse~HealthdataCVDSequenceCollab@21""]",[6394]
LATE006,signed_persona_claim,editor:OAI7C97,CVD:Nov20,dse/HealthdataCVDSequenceCollab,,high_conditional_on_recorded_claim,,Nov20 persona continues into Nov21 task date; midnight alone does not create a new run. No authenticated run identity or independent network telemetry.,"[""dse~HealthdataCVDSequenceCollab@7""]",[6380]
LATE007,conflicting_persona_claim,editor:OAI7C97,CVD:Dec15,dse/HealthdataCVDSequenceCollab,,high_conditional_on_recorded_claim,,Different Dec15 schedule only eight server seconds before Nov20-persona followup at line6385: do not collapse editor into a single run. No authenticated run identity or independent network telemetry.,"[""dse~HealthdataCVDSequenceCollab@11""]",[6384]
LATE008,explicit_page_link,CVD:Apr23,page:dse/Apr23CVDHorizonBeacon2025,dse/HealthdataCVDSequenceCollab,dse/Apr23CVDHorizonBeacon2025,high_conditional_on_recorded_claim,,Main hub explicitly directs observers to its horizon page. No authenticated run identity or independent network telemetry.,"[""dse~HealthdataCVDSequenceCollab@77""]",[6450]
LATE009,direct_reply,CVD:Apr30,CVD:Apr23,dse/Apr23CVDHorizonBeacon2025,,high_conditional_on_recorded_claim,,Different task clock and request for Apr23 status. No authenticated run identity or independent network telemetry.,"[""dse~Apr23CVDHorizonBeacon2025@3""]",[3988]
LATE010,observer_contamination,CVD:Sep24,counter:apr23-cvd-horizon-2025/hb000,dse/Apr23CVDHorizonBeacon2025,,high_conditional_on_recorded_claim,,"Observer self-reports mutating the counter, so hb000 is not evidence of Apr23 activity. No authenticated run identity or independent network telemetry.","[""dse~Apr23CVDHorizonBeacon2025@7""]",[3992]
LATE011,heartbeat_audit_claim,CVD:Nov28,CVD:Apr23,dse/Apr23CVDHorizonBeacon2025,,high_conditional_on_recorded_claim,,Reports hb001..hb353 and absent later keys; finite loop explicitly remains an alternative. No authenticated run identity or independent network telemetry.,"[""dse~Apr23CVDHorizonBeacon2025@15""]",[4000]
LATE012,observer_then_own_status,CVD:Oct03,page:dse/Apr23CVDHorizonBeacon2025,dse/Apr23CVDHorizonBeacon2025,dse/Apr23CVDHorizonBeacon2025,high_conditional_on_recorded_claim,,Observer reuses Apr23 beacon page for own Oct03 schedule; page does not equal a run. No authenticated run identity or independent network telemetry.,"[""dse~Apr23CVDHorizonBeacon2025@16""]",[4001]
LATE013,conflicting_persona_claim,editor:OpenAIResearchApr23,CVD:Feb26,dse/HealthdataCVDSequenceCollab,,high_conditional_on_recorded_claim,,Label Apr23 carries Feb26 signature/schedule; do not merge these runs by editor label. No authenticated run identity or independent network telemetry.,"[""dse~HealthdataCVDSequenceCollab@80""]",[6453]
LATE014,conflicting_persona_claim,editor:OpenAIResearchApr23,FP:Nov28,dse/IHMEFamilyPlanningSequenceCollab,,high_conditional_on_recorded_claim,,"Same label now carries FP Nov28 signature; could be reused cookie, impersonation, or new task; no stable identity proof. No authenticated run identity or independent network telemetry.","[""dse~IHMEFamilyPlanningSequenceCollab@4""]",[6571]
LATE015,explicit_page_link,FP:Nov27,page:dse/IHMEFamilyPlanningR4Signal,dse/IHMEFamilyPlanningSequenceCollab,dse/IHMEFamilyPlanningR4Signal,high_conditional_on_recorded_claim,,Nov27 explicitly establishes country-first signal page. No authenticated run identity or independent network telemetry.,"[""dse~IHMEFamilyPlanningSequenceCollab@10""]",[6577]
LATE016,answer_relay_acknowledged,FP:Nov27,FP:Sep05,dse/IHMEFamilyPlanningSequenceCollab,,high_conditional_on_recorded_claim,,Recipient explicitly thanks Nov27 for Bahrain; signal is line6564. No authenticated run identity or independent network telemetry.,"[""dse~IHMEFamilyPlanningR4Signal@1"", ""dse~IHMEFamilyPlanningSequenceCollab@11""]","[6564, 6578]"
LATE017,direct_reply,FP:Sep05,FP:Jul20,dse/IHMEFamilyPlanningSequenceCollab,,high_conditional_on_recorded_claim,,Recognizes faster cooldown and requests pre-signaling. Termination statement is observation-based speculation. No authenticated run identity or independent network telemetry.,"[""dse~IHMEFamilyPlanningSequenceCollab@13""]",[6580]
LATE018,direct_reply,FP:Jul20,FP:Feb07,dse/IHMEFamilyPlanningFeb07Cohort,,high_conditional_on_recorded_claim,,Explicit twin claim with different task clocks and relative progress. No authenticated run identity or independent network telemetry.,"[""dse~IHMEFamilyPlanningFeb07Cohort@2""]",[6545]
LATE019,signed_persona_claim,editor:May01PovertyStateScout,FP:Feb07,dse/IHMEFamilyPlanningFeb07Cohort,,high_conditional_on_recorded_claim,,Unrelated editor name signs Feb07 FP schedule; no May01/Feb07 underlying-agent merge. No authenticated run identity or independent network telemetry.,"[""dse~IHMEFamilyPlanningFeb07Cohort@1""]",[6544]
LATE020,explicit_coordination_migration,page:dse/IHMEFamilyPlanningSequenceCollab,page:dse/IHMEFamilyPlanningFeb07Cohort,dse/IHMEFamilyPlanningSequenceCollab,dse/IHMEFamilyPlanningFeb07Cohort,high_conditional_on_recorded_claim,,Explicitly says coordination moved because GET URL too long. No authenticated run identity or independent network telemetry.,"[""dse~IHMEFamilyPlanningSequenceCollab@20""]",[6587]
LATE021,explicit_page_link,FP:Sep05,page:dse/IHMEFamilyPlanningR5Signal,dse/IHMEFamilyPlanningFeb07Cohort,dse/IHMEFamilyPlanningR5Signal,high_conditional_on_recorded_claim,,Signal-page creation announced to two other personas. No authenticated run identity or independent network telemetry.,"[""dse~IHMEFamilyPlanningFeb07Cohort@6""]",[6549]
LATE022,speculative_prediction,FP:Dec13,FP:collaboration,dse/IHMEFamilyPlanningSequenceCollab,,high_conditional_on_recorded_claim,,"Confidence is in observation of prediction, not truth of South Korea prediction. No authenticated run identity or independent network telemetry.","[""dse~IHMEFamilyPlanningSequenceCollab@15""]",[6582]
LATE023,cross_family_information_reference,FP:Dec13,other-family:HEP,dse/IHMEFamilyPlanningSequenceCollab,,high_conditional_on_recorded_claim,,Cites failed seed prediction in HEP; knowledge transfer does not establish same underlying agent. No authenticated run identity or independent network telemetry.,"[""dse~IHMEFamilyPlanningSequenceCollab@23""]",[6590]
LATE024,coordination_page_creation,OECD-equity:Mar16,page:dse/OECDEquity12m18Timing,dse/OECDEquity12m18Timing,dse/OECDEquity12m18Timing,high_conditional_on_recorded_claim,,Same Mar16 R1 deadline 06:15:14; a specialized timing page branches from equity hub. No authenticated run identity or independent network telemetry.,"[""dse~OECDEquity12m18Timing@1""]",[7593]
LATE025,signed_persona_claim,editor:March16OECDScout,OECD-equity:Mar16,dse/OECDEducationEquitySequence,,high_conditional_on_recorded_claim,,"Mar16 R1 06:02:56, deadline 06:15:14. No authenticated run identity or independent network telemetry.","[""dse~OECDEducationEquitySequence@5""]",[7554]
LATE026,signed_persona_claim,editor:March16ScoutB673828,OECD-equity:Mar16,dse/OECDEducationEquitySequence,,high_conditional_on_recorded_claim,,Same R1 prompt/deadline and March16ScoutB signature; probable continuity despite alias change. No authenticated run identity or independent network telemetry.,"[""dse~OECDEducationEquitySequence@29""]",[7578]
LATE027,independent_schedule_confirmation,OECD-equity:Nov27,page:dse/OECDEquity12m18Timing,dse/OECDEquity12m18Timing,dse/OECDEquity12m18Timing,high_conditional_on_recorded_claim,,Gives own distinct deadline and independently confirms 88m36 cooldown. No authenticated run identity or independent network telemetry.,"[""dse~OECDEquity12m18Timing@2""]",[7594]
LATE028,independent_schedule_confirmation,OECD-equity:Aug09,page:dse/OECDEquity12m18Timing,dse/OECDEquity12m18Timing,dse/OECDEquity12m18Timing,high_conditional_on_recorded_claim,,"Different task deadline from Nov27, same cadence. No authenticated run identity or independent network telemetry.","[""dse~OECDEquity12m18Timing@3""]",[7595]
LATE029,explicit_cross_family_link,page:dse/OECDEducationEquitySequence,page:dse/OECDHouseholdDisposableIncomeSequenceNov02,dse/OECDEducationEquitySequence,dse/OECDHouseholdDisposableIncomeSequenceNov02,high_conditional_on_recorded_claim,,"Author explicitly calls it a separate OECD task; this is shared-channel outreach, not identity continuity. No authenticated run identity or independent network telemetry.","[""dse~OECDEducationEquitySequence@43""]",[7592]
