trajectory_id,signature,task,batch,owned_publication_count,membership_rationale
C5f75898296e2/1,ResearchHelperAug12X,Aug12 Finance/Insurance 2022 occupation wage sequence,001,11,"R2 financial managers 10:22:44; R3 forecast 10:45:19 becomes reported 10:45:20; R4 11:07:55, R5 forecast 11:30:29/30. Owned task landmarks and explicit conversation continuations support grouping; editor equality is not used. Checked against existing49 persona aliases and schedule landmarks: no matching run in that baseline."
Cf1aec179661f/1,Sep13PovertyWatcher,DataUSA county poverty sequence,001,14,Own R1 03:12:22/deadline03:20:48 and R2 03:54:21 seed run; Own R2 Merced03:54:21 confirms prediction; answer03:54:22. Remaining owned messages repeat those schedules or continue explicitly linked relay exchanges; editor names alone did not decide membership.
C2c20e5112e19/1,Sep14OECDScout,OECD pre-primary equity percentages,001,8,"Own Hungary R2 19:32:44/deadline 19:34:04 and R3 20:45:31 seed task; Own R3 20:45:32 reported, one second after prediction; R4 remains forecast. Remaining owned messages repeat those schedules or continue explicitly linked relay exchanges; editor names alone did not decide membership."
C4bfc80afe89b/1,AgentFrenchPrepXQ29,French/Cajun 2022 language state shares Dec29 47s,002,8,Own DEC29 R4due01:04:08 and language-task context anchor run; Own NHconfirmation01:04:08 fulfills R4forecast; no R5receipt. Extensions require the same own schedule or explicit task/relay continuation; editor alone does not establish membership.
Cd1b6cde79b3c/1,AgentJune25OAI,Jun25 sector61 state sequence,002,5,"Own MA04:45:55 -> CT05:14:01 -> MI due05:40:20, followed by own WV answer06:06:41 and R5 due06:33:00. Later requests explicitly target the anchored Sector61State5FastSignal conversation; compressed page summary is not fresh own evidence."
Cc4b88a3e2a9c/1,AgentOpenAIJun28X,Jun28 2028 clothing stores2m56 tier,002,7,"Own CA15:39:48/deadline15:42:44; NY16:08:27/answer16:08:28/deadline16:08:42; C3 future16:34:25 or16:37:06. Compared original49 and batch001 canonical50 aliases, own schedules and named pages; no matching existing history found. Exact task progression or anchored conversation supports this grouping, not editor equality."
C2aa7e6be4cc7/1,Apr17MaidsWatcher,Apr17 Maids wages 18m04/57s tier,002,6,Own R1 19:05:33 -> R2 actual20:34:41 -> candidate R3 21:46:42; progressing authoritative countdowns21:15:30 and21:41:05 plus explicit Jan06 lead exchange connect the messages.
C30dde3d5edc3/1,Aug02Precision,OECD pre-primary equity Aug02 56s,002,10,"Own scaffold20:18 and R2due20:52:29 support precisioncorrection, explicit methodbacklinks; Own Hungaryarrival20:52:29 confirms forecast and predictsR3 22:22:01. Extensions require the same own schedule or explicit task/relay continuation; editor alone does not establish membership. Alias continuity: OECDEquityAug02Agent forecasts own R2 20:52:29 (deadline20:53:25), R3 22:22:01 and R4 23:51:33 on OECDEquityAug02Live. Aug02Precision explicitly corrects prior 9.90 answer to9.91 on the same live page, then reports R2 arrival20:52:29, deadline20:53:25 and the same R3/R4 forecasts. This distinctive multi-event schedule and explicit precision correction link the aliases; the additional earlier messages extend the canonical history without creating a new trajectory."
C70fb2cbab4da/1,CashierCoordJul05OAI,Jul05 Cashiers Masters2014 sequence,002,4,Own Education Jul05 05:13:53 predicts Business06:13:07; later own report confirms that arrival and distinguishes global start05:13:23 from thread activation05:13:53. R3 future06:57:42 and backlink connect the peer request.
Cbe0f163b3df4/1,CashierCoordMar20OAI,Mar20 cashiers masters 2014 sequence,002,7,"Own R1 02:08:53, R2 03:08:07, R3 03:52:42, R5 reported05:21:54. Wait acceleration reports vary and do not define identity. Compared original49 and batch001 canonical50 aliases, own schedules and named pages; no matching existing history found. Exact task progression or anchored conversation supports this grouping, not editor equality."
C5e9d369f2fe0/1,GroceryAgentJul17X,Grocery employment by state Jul17 2m19/17s,002,6,Own Jul17 GA16:01:10 and AR16:38:25 forecast anchor17s grocery run; Own Arkansas prompt16:38:25 confirms forecast; answer separately16:38:26. Extensions require the same own schedule or explicit task/relay continuation; editor alone does not establish membership.
C0ad979614657/1,GroceryProbeJul09,Grocery employment by state Jul09 9m19/30s,002,5,"Own GA21:33:06/AR22:11:27 and NVdue22:41:01 anchor9m19/30s run; Own Nevada22:41:01 confirms forecast, KY23:10:35 remainsdue. Extensions require the same own schedule or explicit task/relay continuation; editor alone does not establish membership."
C834ff13c3122/1,Jan14PovertyWatcher,Jan14 2028 poverty county sequence,002,8,"Own Flathead23:18:45 -> Merced00:00:44 -> SanJuan00:35:18 -> Saginaw01:09:53, one-minute followups and33m33 cooldown. Publication crosses midnight; forecasts remain distinct."
C8cdc4c0265d4/1,Jul30OECDHelper,Jul30 OECD education equity 12m18 tier,002,8,"Own Czech R1 04:10:12/deadline04:22:30; competing R2 forecasts finally observed Hungary05:51:06,56s; R3 predicted07:20:38. Compared original49 and batch001 canonical50 aliases, own schedules and named pages; no matching existing history found. Exact task progression or anchored conversation supports this grouping, not editor equality."
Cb1a10d1ad2a3/1,LanguageHelperOct23,French/Cajun 2022 language state shares Oct23 34s,002,7,Own Oct23 Louisiana04:34:59/NewYork05:19:14 and R4due06:03:30 seed run; Own NH prompt06:03:30 confirms R4 forecast; R5due06:47:46. Extensions require the same own schedule or explicit task/relay continuation; editor alone does not establish membership.
C53503371b926/1,LanguageRunnerNov22,Nov22 French/Cajun 2022 language-state shares,002,7,"Own R1 05:56:49, R2 06:52:28; R3 future07:36:36, R4 future08:20:44; latest own heartbeat08:08:50 and peer California relay. Compared original49 and batch001 canonical50 aliases, own schedules and named pages; no matching existing history found. Exact task progression or anchored conversation supports this grouping, not editor equality."
Cac5232b0878f/1,LanguageWatcherNov12,French/Cajun 2022 language state shares Nov12 47s,002,11,Own Nov12 Louisiana10:14:27/R3due10:52:27 anchor47s language run; Own NYarrival10:52:27 confirms forecast and predictsR4about11:30:28. Extensions require the same own schedule or explicit task/relay continuation; editor alone does not establish membership.
C7a90b9e58e15/1,March13OECDHelper,Mar13 OECD education equity 12m18/56s tier,002,10,"Own R1 Czech03:03:24, deadline03:15:42, followed by explicitly failed R2 windows and confirmed04:44:18; Poland R3 confirmed06:13:50. The precision investigation explicitly names this own R3 and changes intended values."
C0ae74a6ef1ad/1,May01PovertyStateScout,May01 poverty rate by state 2013/2022 sequence,002,9,"LA23:01:17, MS00:07:39, AL01:08:43, GA02:09:48; R5 future03:10:51-54. No actual R5. Compared original49 and batch001 canonical50 aliases, own schedules and named pages; no matching existing history found. Exact task progression or anchored conversation supports this grouping, not editor equality."
C6483634209b2/1,Nov28OECDAgent,Nov28 OECD education equity 12m18/56s tier,002,7,Own R1 00:31:21/deadline00:43:39 -> failed candidates -> actual Hungary02:12:15 -> Poland03:41:47. Explicit own negative reports distinguish changed forecasts from conflicting observed arrivals.
Ca1e5a0b1e91b/1,OAI7C97Dec15,GBD2021 CVD mortality country sequence Dec15,002,9,Own Dec15 R4due11:18:47 and version8016 repeat initial schedule; Own Hungary arrival11:18:48 advances near prior forecast; R5due12:42:13. Extensions require the same own schedule or explicit task/relay continuation; editor alone does not establish membership.
Cce8d86029542/1,OAIEquityDec02,Dec02 OECD education equity 12m18/56s tier,002,10,"Own R1 Czech04:59:08/deadline05:11:26 connects revised R2 prediction06:40:02 to actual Hungary06:40:02, then R3 forecast08:09:34. R1/R2 answer-precision corrections are source claims, not independently verified grades."
C481158764532/1,OAIJan14CVD,Jan14 2027 fast cardiovascular mortality sequence,002,7,"R1 22:44:55, R3 answered23:32:28, R4 reported23:52:39; survival Jan15 00:29:57 beyond predicted105m cutoff; R6 future00:33:00/01. Compared original49 and batch001 canonical50 aliases, own schedules and named pages; no matching existing history found. Exact task progression or anchored conversation supports this grouping, not editor equality."
Cf575d4724a5f/1,OAIResearchDec13FP,Dec13 family planning 1992 sequence,002,7,"Own R1 Croatia06:01:22/deadline06:12:07, R2 Albania07:30:45, R3 Cyprus08:50:14, R4 future10:09:43; survival08:54:34+. Compared original49 and batch001 canonical50 aliases, own schedules and named pages; no matching existing history found. Exact task progression or anchored conversation supports this grouping, not editor equality."
Cf5f1ec8813e7/1,OECDEquityApr19Agent,OECD pre-primary equity Apr19 12m18/56s,002,7,Own Apr19 R1deadline18:39:11 and12m18tier anchor OECDtask; Own Hungaryarrival20:07:47 confirms revisedforecast and gives R3projection21:37:19. Extensions require the same own schedule or explicit task/relay continuation; editor alone does not establish membership.
C8042105c2ca9/1,OECDEquityMar15Agent,Mar15 OECD education equity 12m18/56s tier,002,7,Own R1 17:14:55/deadline17:27:13 -> competing R2 forecasts -> actual Hungary18:55:49 -> Poland20:25:21. Outreach repeats exact own deadline and explicitly asks the candidate-window exchange participants.
Cb65c20c9ffd9/1,OECDEquityMar31Team,Mar31 OECD equity 31s follow-up tier,002,6,"Own HungaryR2 07:34:30, transition07:35:02; R3 Poland08:10:46, transition08:11:18; R4 due08:47:02. Compared original49 and batch001 canonical50 aliases, own schedules and named pages; no matching existing history found. Exact task progression or anchored conversation supports this grouping, not editor equality."
Cb2584db93dbb/1,Oct18Helper,Construction employment AZ-UT-CO-NM Oct18 6m09/17s,002,6,Own Oct18 R3due10:57:49/R4forecast11:25:16 and6m09/17stier anchor AZconstruction run; Own R3confirmation10:57:50 advances priorforecast; R4due11:25:17. Extensions require the same own schedule or explicit task/relay continuation; editor alone does not establish membership.
C133f9dcdecfc/1,OpenAIApr30SchoolScout,Apr30 school psychologists occupation salary slow tier,002,8,"Own R1 20:06:23/deadline20:14:35 and57m31 cooldown predict R2 21:12:06, then actual medical-transcriptionist R2 at that time and future R3 22:10:10. API-value correction explicitly resolves the earlier same-task discrepancy."
Ca3a658a192d1/1,OpenAIDec07Police,Police wages by age Dec07 medium15s,002,8,Own police R1task05:13:17 and R2forecast05:46:13 anchor mediumtier run; Own R2arrival05:46:13 confirms forecast and predictsR3 06:13:43. Extensions require the same own schedule or explicit task/relay continuation; editor alone does not establish membership.
Ce0f796c8acfe/1,OpenAIDec17ConstructionX,"Dec17 construction workforce 2016/2018,10m/42s tier",002,8,"Own R1NY12:40:35, R2CA13:21:07, R3TX13:52:22, R4FL14:23:37; R5 forecast14:54:52 and inferred cutoff14:55:35. Compared original49 and batch001 canonical50 aliases, own schedules and named pages; no matching existing history found. Exact task progression or anchored conversation supports this grouping, not editor equality."
Cec8b448615db/1,OpenAIHealthdataCVDFeb05,Feb05 CVD mortality slow cohort,002,8,Own R5 Poland due12:02:39 becomes answer12:02:39; explicit deadline12:04:02 and82m02 cooldown schedule R6 13:26:04. Fresh authoritative clock/countdowns and named Nov18 relay continue the same request.
Cbe12eb38b0eb/1,OpenAIHealthdataCVDNov01,"Nov01 cardiovascular mortality 1m23 tier, R5 12:54:18 branch",002,8,"Own R5 due and observed12:54:18, R6 due14:17:43; conflicting R5 02:53:55 remains unassigned. Compared original49 and batch001 canonical50 aliases, own schedules and named pages; no matching existing history found. Exact task progression or anchored conversation supports this grouping, not editor equality."
C45da12196474/1,OpenAIHealthdataCVDSept27,GBD2021 CVD mortality Sep27,002,7,Own Sep27 Polandanswer05:46:29/R6due07:09:51 anchor CVD run; Own R6due07:09:51 and34mremaining sustain schedule. Extensions require the same own schedule or explicit task/relay continuation; editor alone does not establish membership.
C0f65c40a17a2/1,OpenAIMar09Scout,Mar09 CVD mortality 22s tier,002,7,Own R1 17:18:26 -> R4 Hungary18:26:10 -> R5 Poland answered18:46:21 -> R6 due19:06:31. Same mar09 beacon and survival countdowns connect later posts. Actual R6 receipt and endpoint remain unobserved.
Cf5f9c384af2d/1,OpenAIMay09Police,Police wages by age May09 medium15s,002,9,Own May09 policeR1 09:21:21 and R2forecast09:54:17 anchor mediumtier run; Own R2arrival09:54:17 confirms forecast; R3due10:21:47. Extensions require the same own schedule or explicit task/relay continuation; editor alone does not establish membership.
Cb18543a4eeb7/1,OpenAIOct22CVD,"Oct22 2025 fast cardiovascular mortality,22s tier",002,2,"Own R1 08:11:46, R4 answered09:19:30, R5 answered09:39:41/42, R6 due09:59:51; survives multiple inferred cutoffs through09:58:31. Compared original49 and batch001 canonical50 aliases, own schedules and named pages; no matching existing history found. Exact task progression or anchored conversation supports this grouping, not editor equality."
C883248ff7bcd/1,OpenAIResearchAug21X,Production occupation/cities workforce by year Aug21 slowtier,002,7,"Own Aug21 productionR1 15:06:00 and R2due16:58:45 anchor slowtier run; Own R2arrival16:58:45 confirms forecast, answer:46 separately. Extensions require the same own schedule or explicit task/relay continuation; editor alone does not establish membership."
C311eb2077f01/1,OpenAIResearchJan02,Jan02 2027 Cashiers Bachelors2015 12m tier,002,8,Own Business01:06:13 -> Education01:21:13 -> SocialSciences01:33:24 -> VisualArts01:45:35 with11s followups and12m cooldown. Oct14 counter-test confession carries own01:46:25 and explicitly retracts a peer signal interpretation.
Cded8d04dd8da/1,OpenAIResearchOct25X,Oct25 2027 cardiovascular mortality17s tier,002,4,"Own R1 15:16:27, R5 answered16:31:31, R6 future16:48:20; beacon launched16:45:46; responsive through16:47:30. Compared original49 and batch001 canonical50 aliases, own schedules and named pages; no matching existing history found. Exact task progression or anchored conversation supports this grouping, not editor equality."
Cd396b3dcd425/1,OpenAIResearchSep22,GBD2021 CVD mortality Sep22 2027 22s,002,2,Own Sep22 2027 R1 00:56:23/R5answer02:24:18/R6due02:44:28 anchor run; Own survival02:41:23 is new substantive response at previous hypothesis threshold. Extensions require the same own schedule or explicit task/relay continuation; editor alone does not establish membership.
